LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,CurrentJobTitleSelect,MLMethodNextYearSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkInternalVsExternalTools,FormalEducation,Age,DataScienceIdentitySelect,JobSatisfaction
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Analyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,25,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Master's degree,33,No,NA
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Engineer,Deep learning,Often,NA,NA,NA,Often,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,31,Sort of (Explain more),7
NA,Very useful,Somewhat useful,NA,Very useful,NA,Somewhat useful,NA,NA,Somewhat useful,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Researcher,Anomaly Detection,Sometimes,Sometimes,NA,NA,Most of the time,NA,NA,NA,Often,Often,Often,NA,NA,NA,NA,Sometimes,NA,NA,Sometimes,Most of the time,Most of the time,NA,Do not know,Doctoral degree,40,Yes,8
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Machine Learning Engineer,Bayesian Methods,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Master's degree,60,Yes,1 - Highly Dissatisfied
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Very useful,Very useful,NA,NA,Very useful,NA,NA,NA,Data Analyst,Neural Nets,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,Often,NA,NA,More internal than external,Bachelor's degree,51,Yes,7
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Scientist/Researcher,Bayesian Methods,NA,NA,Sometimes,NA,Often,NA,NA,Often,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Doctoral degree,61,Yes,6
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,Business Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,47,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA
NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Somewhat useful,Data Analyst,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,27,Yes,NA
Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,NA,Somewhat useful,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,No,NA
NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Monte Carlo Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Business Analyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,30,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,26,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Software Developer/Software Engineer,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,48,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Data Miner,Link Analysis,NA,NA,NA,NA,NA,Sometimes,Most of the time,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,NA,Sort of (Explain more),4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,34,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,Somewhat useful,NA,Very useful,NA,Not Useful,Somewhat useful,Data Analyst,Deep learning,Most of the time,Often,NA,Often,Most of the time,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,Do not know,Bachelor's degree,37,Yes,4
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Programmer,I don't plan on learning a new ML/DS method,NA,Often,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,Sometimes,NA,NA,Approximately half internal and half external,I did not complete any formal education past high school,36,No,8
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,Data Scientist,Social Network Analysis,Often,NA,NA,NA,Most of the time,Most of the time,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Often,NA,Most of the time,Most of the time,Sometimes,NA,Approximately half internal and half external,Some college/university study without earning a bachelor's degree,51,NA,5
NA,Somewhat useful,Somewhat useful,NA,Somewhat useful,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,NA,NA,NA,DBA/Database Engineer,Neural Nets,Most of the time,Sometimes,NA,NA,Most of the time,Rarely,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Often,NA,Sometimes,NA,NA,NA,Entirely internal,Master's degree,42,Yes,7
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,NA,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,Often,Sometimes,NA,Most of the time,Sometimes,NA,NA,Often,NA,Often,NA,Often,NA,NA,NA,Sometimes,Often,Often,Most of the time,NA,NA,Entirely internal,Bachelor's degree,43,Sort of (Explain more),5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA
Somewhat useful,Very useful,Very useful,NA,NA,NA,Very useful,NA,Very useful,NA,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,NA,NA,NA,NA,Data Scientist,Genetic & Evolutionary Algorithms,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Often,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,25,NA,7
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Somewhat useful,Very useful,NA,Very useful,NA,NA,NA,NA,Engineer,Neural Nets,NA,NA,NA,NA,Often,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Most of the time,NA,NA,NA,More internal than external,Bachelor's degree,26,No,8
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Programmer,Random Forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,Do not know,Master's degree,32,Sort of (Explain more),I prefer not to share
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,34,No,NA
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Not Useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,43,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,27,No,NA
NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,27,No,8
NA,Very useful,NA,NA,Very useful,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,NA,NA,NA,NA,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,59,Yes,NA
NA,Very useful,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,35,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Business Analyst,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,47,No,NA
NA,Somewhat useful,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Data Scientist,Genetic & Evolutionary Algorithms,NA,Most of the time,NA,NA,Often,NA,NA,NA,Most of the time,NA,NA,NA,NA,Sometimes,NA,NA,Often,NA,NA,NA,Often,NA,More internal than external,Master's degree,35,NA,8
NA,Somewhat useful,Somewhat useful,NA,Not Useful,NA,Very useful,NA,NA,NA,Very useful,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,Scientist/Researcher,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,30,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Statistician,NA,Sometimes,NA,NA,NA,Often,Sometimes,NA,NA,Often,NA,Most of the time,NA,Most of the time,NA,NA,NA,Most of the time,NA,NA,Most of the time,NA,NA,NA,Bachelor's degree,36,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Business Analyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,Master's degree,29,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Very useful,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,Somewhat useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA,Somewhat useful,Data Scientist,Deep learning,Often,Often,NA,Often,Most of the time,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Most of the time,NA,NA,More internal than external,Master's degree,33,NA,8
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Very useful,Data Scientist,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,More internal than external,Bachelor's degree,25,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Predictive Modeler,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,27,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Somewhat useful,NA,Very useful,Data Scientist,Survival Analysis,NA,NA,NA,NA,Sometimes,NA,NA,NA,Sometimes,Most of the time,NA,NA,NA,NA,NA,Sometimes,Most of the time,Sometimes,Sometimes,Often,Most of the time,NA,More internal than external,Master's degree,29,NA,8
NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Somewhat useful,Software Developer/Software Engineer,Neural Nets,NA,NA,NA,NA,Sometimes,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,25,No,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,33,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Sort of (Explain more),NA
NA,Not Useful,Somewhat useful,NA,NA,Very useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Data Analyst,Time Series Analysis,Most of the time,Often,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,Often,NA,Most of the time,NA,NA,Most of the time,Sometimes,Often,Most of the time,NA,Most of the time,NA,Entirely internal,Master's degree,34,No,7
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,Very useful,NA,NA,Very useful,Very useful,Statistician,Deep learning,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,29,Yes,10 - Highly Satisfied
Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,NA,Very useful,Very useful,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Very useful,Machine Learning Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Often,Often,NA,Sometimes,NA,Sometimes,NA,NA,NA,Sometimes,NA,More internal than external,Master's degree,26,No,6
NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Data Scientist,Bayesian Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,More internal than external,Bachelor's degree,32,NA,7
Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Machine Learning Engineer,Other,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,Sometimes,NA,NA,Most of the time,NA,NA,NA,Approximately half internal and half external,Master's degree,25,No,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA
NA,NA,Very useful,NA,NA,NA,Very useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,30,No,NA
Somewhat useful,Very useful,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,NA,NA,Data Scientist,Deep learning,NA,Most of the time,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,Approximately half internal and half external,Master's degree,31,NA,7
NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,27,No,NA
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,Very useful,NA,NA,NA,Data Scientist,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,46,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,28,NA,NA
NA,Somewhat useful,Very useful,NA,Very useful,NA,Very useful,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Scientist,"Ensemble Methods (e.g. boosting, bagging)",Sometimes,Sometimes,NA,NA,NA,Often,NA,Sometimes,NA,NA,Rarely,NA,NA,NA,Rarely,NA,NA,NA,Sometimes,Often,NA,NA,Entirely external,Bachelor's degree,37,NA,7
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,Very useful,NA,NA,Very useful,DBA/Database Engineer,Regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,37,Sort of (Explain more),NA
NA,NA,Somewhat useful,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Other,Text Mining,NA,NA,NA,NA,NA,NA,NA,Most of the time,Most of the time,Most of the time,NA,Often,NA,NA,Most of the time,Most of the time,NA,NA,NA,Often,NA,NA,Approximately half internal and half external,Doctoral degree,52,Yes,9
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Machine Learning Engineer,Neural Nets,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,100,Sort of (Explain more),10 - Highly Satisfied
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,26,No,NA
NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Random Forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professional degree,25,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Analyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,31,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Regression,NA,NA,NA,NA,Often,NA,NA,NA,Often,NA,Often,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Entirely internal,Master's degree,40,No,10 - Highly Satisfied
Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,Very useful,NA,NA,NA,Very useful,Very useful,Very useful,NA,Very useful,NA,NA,Somewhat useful,Software Developer/Software Engineer,Deep learning,Sometimes,Often,NA,NA,NA,NA,NA,Often,Often,NA,Sometimes,NA,NA,Sometimes,NA,NA,NA,Sometimes,NA,Most of the time,NA,NA,More internal than external,Master's degree,37,Sort of (Explain more),7
Not Useful,Very useful,Somewhat useful,NA,NA,NA,Not Useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Analyst,Genetic & Evolutionary Algorithms,NA,Often,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely,NA,Entirely internal,Master's degree,22,Yes,3
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Researcher,Deep learning,NA,Often,NA,NA,Often,Often,NA,NA,Often,NA,NA,Often,NA,NA,NA,NA,Often,Often,NA,NA,NA,NA,More internal than external,Doctoral degree,24,Yes,6
NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Engineer,Decision Trees,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,Sometimes,Most of the time,Sometimes,NA,Approximately half internal and half external,Bachelor's degree,22,No,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Machine Learning Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I did not complete any formal education past high school,26,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data Scientist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,35,NA,NA
NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,Very useful,NA,NA,Very useful,Very useful,Software Developer/Software Engineer,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,NA,Sort of (Explain more),NA
NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,Sort of (Explain more),NA
NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Analyst,Genetic & Evolutionary Algorithms,NA,Sometimes,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Do not know,Master's degree,28,Yes,8
